Name,Low Res,Walk,Stand,Load,Ready,Fire,Run,Charge,Melee,Prone,Death,Death_2
USPR_CSA_Art_01_Limber,USPR_CSA_Art_01_Limber,GFX_CSA_Art_01-1_Walk_Limber,GFX_CSA_Art_01-2_Stand_Limber,GFX_CSA_Art_01-2_Stand_Limber,GFX_CSA_Art_01-2_Stand_Limber,GFX_CSA_Art_01-2_Stand_Limber,GFX_CSA_Art_01-1_Walk_Limber,GFX_CSA_Art_01-1_Walk_Limber,GFX_CSA_Art_01-2_Stand_Limber,,GFX_CSA_Inf_01-8_Death_1,GFX_CSA_Art_01-4_Death_Gun
USPR_CSA_Cav_01,USPR_CSA_Cav_01,GFX_CSA_Cav_01-1_Walk,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-4_Run,GFX_CSA_Cav_01-5_Charge,GFX_CSA_Cav_01-6_Melee,,GFX_CSA_Cav_01-7_Death_1,GFX_CSA_Cav_01-7_Death_1
USPR_CSA_Cav_01_Dismounted,USPR_CSA_Cav_01_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-3_Load_Dismounted,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-3_Fire_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-6_Melee,,GFX_CSA_Cav_01-7_Death_Dismounted,
USPR_CSA_Cav_01_s,USPR_CSA_Cav_01_s,GFX_CSA_Cav_01-1_Walk_s,GFX_CSA_Cav_01-2_Stand_s,GFX_CSA_Cav_01-2_Stand_s,GFX_CSA_Cav_01-2_Stand_s,GFX_CSA_Cav_01-2_Stand_s,GFX_CSA_Cav_01-4_Run_s,GFX_CSA_Cav_01-5_Charge_s,GFX_CSA_Cav_01-6_Melee_s,,GFX_CSA_Cav_01-7_Death_1_s,GFX_CSA_Cav_01-7_Death_1_s
USPR_CSA_Cav_01_Dismounted_s,USPR_CSA_Cav_01_Dismounted_s,GFX_CSA_Cav_01-4_Run_Dismounted_s,GFX_CSA_Cav_01-2_Kneel_Dismounted_s,GFX_CSA_Cav_01-3_Load_Dismounted_s,GFX_CSA_Cav_01-2_Kneel_Dismounted_s,GFX_CSA_Cav_01-3_Fire_Dismounted_s,GFX_CSA_Cav_01-4_Run_Dismounted_s,GFX_CSA_Cav_01-4_Run_Dismounted_s,GFX_CSA_Cav_01-6_Melee_s,,GFX_CSA_Cav_01-7_Death_Dismounted_s,
USPR_CSA_Cav_02,USPR_CSA_Cav_01,GFX_CSA_Cav_02-1_Walk,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-4_Run,GFX_CSA_Cav_02-5_Charge,GFX_CSA_Cav_02-6_Melee,,GFX_CSA_Cav_02-7_Death_2,GFX_CSA_Cav_02-7_Death_2
USPR_CSA_Cav_02_Dismounted,USPR_CSA_Cav_01_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-3_Load_Dismounted,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-3_Fire_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-6_Melee,,GFX_CSA_Cav_02-7_Death_Dismounted,
USPR_CSA_Cav_02_s,USPR_CSA_Cav_01_s,GFX_CSA_Cav_02-1_Walk_s,GFX_CSA_Cav_02-2_Stand_s,GFX_CSA_Cav_02-2_Stand_s,GFX_CSA_Cav_02-2_Stand_s,GFX_CSA_Cav_02-2_Stand_s,GFX_CSA_Cav_02-4_Run_s,GFX_CSA_Cav_02-5_Charge_s,GFX_CSA_Cav_02-6_Melee_s,,GFX_CSA_Cav_02-7_Death_2_s,GFX_CSA_Cav_02-7_Death_2_s
USPR_CSA_Cav_02_Dismounted_s,USPR_CSA_Cav_01_Dismounted_s,GFX_CSA_Cav_02-4_Run_Dismounted_s,GFX_CSA_Cav_02-2_Kneel_Dismounted_s,GFX_CSA_Cav_02-3_Load_Dismounted_s,GFX_CSA_Cav_02-2_Kneel_Dismounted_s,GFX_CSA_Cav_02-3_Fire_Dismounted_s,GFX_CSA_Cav_02-4_Run_Dismounted_s,GFX_CSA_Cav_02-4_Run_Dismounted_s,GFX_CSA_Cav_02-6_Melee_s,,GFX_CSA_Cav_02-7_Death_Dismounted_s,
USPR_CSA_Cdr_01,USPR_CSA_Cdr_01,GFX_CSA_Cdr_01-1_Walk,GFX_CSA_Cdr_01-2_Stand,GFX_CSA_Cdr_01-2_Stand,GFX_CSA_Cdr_01-2_Stand,GFX_CSA_Cdr_01-2_Stand,GFX_CSA_Cdr_01-3_Run,GFX_CSA_Cdr_01-3_Run,GFX_CSA_Cdr_01-2_Stand,,GFX_CSA_Cdr_01-4_Death,
USPR_CSA_Cdr_01_Flag,USPR_CSA_Cdr_01,GFX_CSA_Cav_01-1_Walk,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-4_Run,GFX_CSA_Cav_01-5_Charge,GFX_CSA_Cav_01-2_Stand,,GFX_CSA_Cav_01-7_Death_1,GFX_CSA_Cav_01-7_Death_1
USPR_CSA_Cdr_02,USPR_CSA_Cdr_01,GFX_CSA_Cdr_02-1_Walk,GFX_CSA_Cdr_02-2_Stand,GFX_CSA_Cdr_02-2_Stand,GFX_CSA_Cdr_02-2_Stand,GFX_CSA_Cdr_02-2_Stand,GFX_CSA_Cdr_02-3_Run,GFX_CSA_Cdr_02-3_Run,GFX_CSA_Cdr_02-2_Stand,,GFX_CSA_Cdr_02-4_Death,
USPR_CSA_Cdr_02_Flag,USPR_CSA_Cdr_01,GFX_CSA_Cav_02-1_Walk,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-2_Stand,GFX_CSA_Cav_02-4_Run,GFX_CSA_Cav_02-5_Charge,GFX_CSA_Cav_02-2_Stand,,GFX_CSA_Cav_02-7_Death_2,GFX_CSA_Cav_02-7_Death_2
USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_01-1_Walk,GFX_CSA_Inf_01-2_Stand,GFX_CSA_Inf_01-2_Stand,GFX_CSA_Inf_01-2_Stand,GFX_CSA_Inf_01-2_Stand,GFX_CSA_Inf_01-4_Run,GFX_CSA_Inf_01-4_Run,GFX_CSA_Inf_01-6_Melee,GFX_CSA_Inf_01-7_Prone,GFX_CSA_Inf_01-8_Death_1,GFX_CSA_Inf_01-8_Death_1
USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_02-1_Walk,GFX_CSA_Inf_02-2_Stand,GFX_CSA_Inf_02-2_Stand,GFX_CSA_Inf_02-2_Stand,GFX_CSA_Inf_02-2_Stand,GFX_CSA_Inf_02-4_Run,GFX_CSA_Inf_02-5_Charge,GFX_CSA_Inf_02-6_Melee,GFX_CSA_Inf_02-7_Prone,GFX_CSA_Inf_02-8_Death_2,GFX_CSA_Inf_02-8_Death_2
USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_03-1_Walk,GFX_CSA_Inf_03-2_Stand,GFX_CSA_Inf_03-2_Stand,GFX_CSA_Inf_03-2_Stand,GFX_CSA_Inf_03-2_Stand,GFX_CSA_Inf_03-4_Run,GFX_CSA_Inf_03-5_Charge,GFX_CSA_Inf_03-6_Melee,GFX_CSA_Inf_03-7_Prone,GFX_CSA_Inf_03-8_Death_3,GFX_CSA_Inf_03-8_Death_3
USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_06-1_Walk,GFX_CSA_Inf_06-2_Stand,GFX_CSA_Inf_06-2_Stand,GFX_CSA_Inf_06-2_Stand,GFX_CSA_Inf_06-2_Stand,GFX_CSA_Inf_06-4_Run,GFX_CSA_Inf_06-5_Charge,GFX_CSA_Inf_06-6_Melee,GFX_CSA_Inf_06-7_Prone,GFX_CSA_Inf_06-8_Death_1,GFX_CSA_Inf_06-8_Death_1
USPR_CSA_Inf_01_Officer,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_Off_01-1_Walk,GFX_CSA_Inf_Off_01-2_Stand,GFX_CSA_Inf_Off_01-2_Stand,GFX_CSA_Inf_Off_01-2_Stand,GFX_CSA_Inf_Off_01-2_Stand,GFX_CSA_Inf_Off_01-4_Run,GFX_CSA_Inf_Off_01-5_Charge,GFX_CSA_Inf_Off_01-6_Melee,GFX_CSA_Inf_Off_01-2_Stand,GFX_CSA_Inf_Off_01-8_Death,GFX_CSA_Inf_Off_01-8_Death
USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_01-1_Walk,GFX_CSA_Inf_01-2_Stand,GFX_CSA_Inf_01-3_Load,GFX_CSA_Inf_01-3_Ready,GFX_CSA_Inf_01-3_Fire,GFX_CSA_Inf_01-4_Run,GFX_CSA_Inf_01-5_Charge,GFX_CSA_Inf_01-6_Melee,GFX_CSA_Inf_01-7_Prone,GFX_CSA_Inf_01-8_Death_1,GFX_CSA_Inf_01-8_Death_1
USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_01_Private_s,GFX_CSA_Inf_01-1_Walk_s,GFX_CSA_Inf_01-2_Stand_s,GFX_CSA_Inf_01-3_Load_s,GFX_CSA_Inf_01-3_Ready_s,GFX_CSA_Inf_01-3_Fire_s,GFX_CSA_Inf_01-4_Run_s,GFX_CSA_Inf_01-5_Charge_s,GFX_CSA_Inf_01-6_Melee_s,GFX_CSA_Inf_01-7_Prone_s,GFX_CSA_Inf_01-8_Death_1_s,GFX_CSA_Inf_01-8_Death_1_s
USPR_CSA_Inf_01_Private_t,USPR_CSA_Inf_01_Private_t,GFX_CSA_Inf_01-1_Walk_t,GFX_CSA_Inf_01-2_Stand_t,GFX_CSA_Inf_01-3_Load_t,GFX_CSA_Inf_01-3_Ready_t,GFX_CSA_Inf_01-3_Fire_t,GFX_CSA_Inf_01-4_Run_t,GFX_CSA_Inf_01-5_Charge_t,GFX_CSA_Inf_01-6_Melee_t,GFX_CSA_Inf_01-7_Prone_t,GFX_CSA_Inf_01-8_Death_1_t,GFX_CSA_Inf_01-8_Death_1_t
USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_02-1_Walk,GFX_CSA_Inf_02-2_Stand,GFX_CSA_Inf_02-3_Load,GFX_CSA_Inf_02-3_Ready,GFX_CSA_Inf_02-3_Fire,GFX_CSA_Inf_02-4_Run,GFX_CSA_Inf_02-5_Charge,GFX_CSA_Inf_02-6_Melee,GFX_CSA_Inf_02-7_Prone,GFX_CSA_Inf_02-8_Death_2,GFX_CSA_Inf_02-8_Death_2
USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_01_Private_s,GFX_CSA_Inf_02-1_Walk_s,GFX_CSA_Inf_02-2_Stand_s,GFX_CSA_Inf_02-3_Load_s,GFX_CSA_Inf_02-3_Ready_s,GFX_CSA_Inf_02-3_Fire_s,GFX_CSA_Inf_02-4_Run_s,GFX_CSA_Inf_02-5_Charge_s,GFX_CSA_Inf_02-6_Melee_s,GFX_CSA_Inf_02-7_Prone_s,GFX_CSA_Inf_02-8_Death_2_s,GFX_CSA_Inf_02-8_Death_2_s
USPR_CSA_Inf_03_Private,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_03-1_Walk,GFX_CSA_Inf_03-2_Stand,GFX_CSA_Inf_03-3_Load,GFX_CSA_Inf_03-3_Ready,GFX_CSA_Inf_03-3_Fire,GFX_CSA_Inf_03-4_Run,GFX_CSA_Inf_03-5_Charge,GFX_CSA_Inf_03-6_Melee,GFX_CSA_Inf_03-7_Prone,GFX_CSA_Inf_03-8_Death_3,GFX_CSA_Inf_03-8_Death_3
USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_01_Private_t,GFX_CSA_Inf_03-1_Walk_t,GFX_CSA_Inf_03-2_Stand_t,GFX_CSA_Inf_03-3_Load_t,GFX_CSA_Inf_03-3_Ready_t,GFX_CSA_Inf_03-3_Fire_t,GFX_CSA_Inf_03-4_Run_t,GFX_CSA_Inf_03-5_Charge_t,GFX_CSA_Inf_03-6_Melee_t,GFX_CSA_Inf_03-7_Prone_t,GFX_CSA_Inf_03-8_Death_3_t,GFX_CSA_Inf_03-8_Death_3_t
USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,GFX_CSA_Inf_06-1_Walk,GFX_CSA_Inf_06-2_Stand,GFX_CSA_Inf_06-3_Load,GFX_CSA_Inf_06-3_Ready,GFX_CSA_Inf_06-3_Fire,GFX_CSA_Inf_06-4_Run,GFX_CSA_Inf_06-5_Charge,GFX_CSA_Inf_06-6_Melee,GFX_CSA_Inf_06-7_Prone,GFX_CSA_Inf_06-8_Death_1,GFX_CSA_Inf_06-8_Death_1
USPR_CSA_Inf_06_Private_s,USPR_CSA_Inf_01_Private_s,GFX_CSA_Inf_06-1_Walk_s,GFX_CSA_Inf_06-2_Stand_s,GFX_CSA_Inf_06-3_Load_s,GFX_CSA_Inf_06-3_Ready_s,GFX_CSA_Inf_06-3_Fire_s,GFX_CSA_Inf_06-4_Run_s,GFX_CSA_Inf_06-5_Charge_s,GFX_CSA_Inf_06-6_Melee_s,GFX_CSA_Inf_06-7_Prone_s,GFX_CSA_Inf_06-8_Death_1_s,GFX_CSA_Inf_06-8_Death_1_s
USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,GFX_USA_Inf_08-1_Walk,GFX_USA_Inf_08-2_Stand,GFX_USA_Inf_08-3_Load,GFX_USA_Inf_08-3_Ready,GFX_USA_Inf_08-3_Fire,GFX_USA_Inf_08-4_Run,GFX_USA_Inf_08-5_Charge,GFX_USA_Inf_08-6_Melee,GFX_USA_Inf_08-7_Prone,GFX_USA_Inf_08-8_Death_2,GFX_USA_Inf_08-8_Death_2
USPR_CSA_Messenger,USPR_CSA_Cav_01,GFX_CSA_Cav_01-1_Walk,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-2_Stand,GFX_CSA_Cav_01-4_Run,GFX_CSA_Cav_01-5_Charge,GFX_CSA_Cav_01-2_Stand,,GFX_CSA_Cav_01-7_Death_1,GFX_CSA_Cav_01-7_Death_1
USPR_CSA_TRANS_Horses,USPR_TRANS_Horses,GFX_CSA_TRANS_Horses_Walk,GFX_CSA_TRANS_Horses_Stand,GFX_CSA_TRANS_Horses_Stand,GFX_CSA_TRANS_Horses_Stand,GFX_CSA_TRANS_Horses_Stand,GFX_CSA_TRANS_Horses_Walk,GFX_CSA_TRANS_Horses_Walk,GFX_CSA_TRANS_Horses_Stand,,GFX_CSA_TRANS_Horses_Stand,
USPR_CSA_TRANS_Wagon,USPR_CSA_TRANS_Wagon,GFX_CSA_TRANS_Wagon_Walk,GFX_CSA_TRANS_Wagon_Stand,GFX_CSA_TRANS_Wagon_Stand,GFX_CSA_TRANS_Wagon_Stand,GFX_CSA_TRANS_Wagon_Stand,GFX_CSA_TRANS_Wagon_Walk,GFX_CSA_TRANS_Wagon_Walk,GFX_CSA_TRANS_Wagon_Stand,,GFX_CSA_TRANS_Wagon_Stand,
USPR_TRANS_Mules,USPR_TRANS_Horses,GFX_TRANS_Mules_Walk,GFX_TRANS_Mules_Stand,GFX_TRANS_Mules_Stand,GFX_TRANS_Mules_Stand,GFX_TRANS_Mules_Stand,GFX_TRANS_Mules_Walk,GFX_TRANS_Mules_Walk,GFX_TRANS_Mules_Stand,,GFX_TRANS_Mules_Stand,
USPR_USA_Art_01_Gun,USPR_USA_Art_01_Gun,GFX_USA_Art_01-1_Walk_Gun,GFX_USA_Art_01-2_Stand_Gun,GFX_USA_Art_01-3_Load_Gun,GFX_USA_Art_01-3_Ready_Gun,GFX_USA_Art_01-3_Fire_Gun,GFX_USA_Art_01-1_Walk_Gun,GFX_USA_Art_01-1_Walk_Gun,GFX_USA_Art_01-1_Walk_Gun,,GFX_USA_Inf_01-8_Death_1,GFX_USA_Art_01-4_Death_Gun
USPR_USA_Art_02_Gun,USPR_USA_Art_01_Gun,GFX_USA_Art_02-1_Walk_Gun,GFX_USA_Art_02-2_Stand_Gun,GFX_USA_Art_02-3_Load_Gun,GFX_USA_Art_02-3_Ready_Gun,GFX_USA_Art_02-3_Fire_Gun,GFX_USA_Art_02-1_Walk_Gun,GFX_USA_Art_02-1_Walk_Gun,GFX_USA_Art_02-1_Walk_Gun,,GFX_USA_Inf_04-8_Death_3,GFX_USA_Art_02-4_Death_Gun
USPR_USA_Art_01_Gun-Limbered,USPR_USA_Art_01_Gun-Limbered,GFX_USA_Art_01-1_Walk_Gun-Limbered,GFX_USA_Art_01-2_Stand_Gun-Limbered,GFX_USA_Art_01-2_Stand_Gun-Limbered,GFX_USA_Art_01-2_Stand_Gun-Limbered,GFX_USA_Art_01-2_Stand_Gun-Limbered,GFX_USA_Art_01-1_Walk_Gun-Limbered,GFX_USA_Art_01-1_Walk_Gun-Limbered,GFX_USA_Art_01-1_Walk_Gun-Limbered,,GFX_USA_Inf_01-8_Death_1,GFX_USA_Art_01-4_Death_Gun
USPR_USA_Art_01_Limber,USPR_USA_Art_01_Limber,GFX_USA_Art_01-1_Walk_Limber,GFX_USA_Art_01-2_Stand_Limber,GFX_USA_Art_01-2_Stand_Limber,GFX_USA_Art_01-2_Stand_Limber,GFX_USA_Art_01-2_Stand_Limber,GFX_USA_Art_01-1_Walk_Limber,GFX_USA_Art_01-1_Walk_Limber,GFX_USA_Art_01-2_Stand_Limber,,GFX_USA_Inf_01-8_Death_1,GFX_USA_Art_01-4_Death_Gun
USPR_USA_Cav_01,USPR_USA_Cav_01,GFX_USA_Cav_01-1_Walk,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-4_Run,GFX_USA_Cav_01-5_Charge,GFX_USA_Cav_01-6_Melee,,GFX_USA_Cav_01-7_Death_1,GFX_USA_Cav_01-7_Death_1
USPR_USA_Cav_01_Dismounted,USPR_USA_Cav_01_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-3_Load_Dismounted,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-3_Fire_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-6_Melee,,GFX_USA_Cav_01-7_Death_Dismounted,
USPR_USA_Cav_01_s,USPR_USA_Cav_01_s,GFX_USA_Cav_01-1_Walk_s,GFX_USA_Cav_01-2_Stand_s,GFX_USA_Cav_01-2_Stand_s,GFX_USA_Cav_01-2_Stand_s,GFX_USA_Cav_01-2_Stand_s,GFX_USA_Cav_01-4_Run_s,GFX_USA_Cav_01-5_Charge_s,GFX_USA_Cav_01-6_Melee_s,,GFX_USA_Cav_01-7_Death_1_s,GFX_USA_Cav_01-7_Death_1_s
USPR_USA_Cav_01_Dismounted_s,USPR_USA_Cav_01_Dismounted_s,GFX_USA_Cav_01-4_Run_Dismounted_s,GFX_USA_Cav_01-2_Kneel_Dismounted_s,GFX_USA_Cav_01-3_Load_Dismounted_s,GFX_USA_Cav_01-2_Kneel_Dismounted_s,GFX_USA_Cav_01-3_Fire_Dismounted_s,GFX_USA_Cav_01-4_Run_Dismounted_s,GFX_USA_Cav_01-4_Run_Dismounted_s,GFX_USA_Cav_01-6_Melee_s,,GFX_USA_Cav_01-7_Death_Dismounted_s,
USPR_USA_Cav_02,USPR_USA_Cav_01,GFX_USA_Cav_02-1_Walk,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-4_Run,GFX_USA_Cav_02-5_Charge,GFX_USA_Cav_02-6_Melee,,GFX_USA_Cav_02-7_Death_2,GFX_USA_Cav_02-7_Death_2
USPR_USA_Cav_02_Dismounted,USPR_USA_Cav_01_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-3_Load_Dismounted,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-3_Fire_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-6_Melee,,GFX_USA_Cav_02-7_Death_Dismounted,
USPR_USA_Cav_02_s,USPR_USA_Cav_01_s,GFX_USA_Cav_02-1_Walk_s,GFX_USA_Cav_02-2_Stand_s,GFX_USA_Cav_02-2_Stand_s,GFX_USA_Cav_02-2_Stand_s,GFX_USA_Cav_02-2_Stand_s,GFX_USA_Cav_02-4_Run_s,GFX_USA_Cav_02-5_Charge_s,GFX_USA_Cav_02-6_Melee_s,,GFX_USA_Cav_02-7_Death_2_s,GFX_USA_Cav_02-7_Death_2_s
USPR_USA_Cav_02_Dismounted_s,USPR_USA_Cav_01_Dismounted_s,GFX_USA_Cav_02-4_Run_Dismounted_s,GFX_USA_Cav_02-2_Kneel_Dismounted_s,GFX_USA_Cav_02-3_Load_Dismounted_s,GFX_USA_Cav_02-2_Kneel_Dismounted_s,GFX_USA_Cav_02-3_Fire_Dismounted_s,GFX_USA_Cav_02-4_Run_Dismounted_s,GFX_USA_Cav_02-4_Run_Dismounted_s,GFX_USA_Cav_02-6_Melee_s,,GFX_USA_Cav_02-7_Death_Dismounted_s,
USPR_USA_Cdr_01,USPR_USA_Cdr_01,GFX_USA_Cdr_01-1_Walk,GFX_USA_Cdr_01-2_Stand,GFX_USA_Cdr_01-2_Stand,GFX_USA_Cdr_01-2_Stand,GFX_USA_Cdr_01-2_Stand,GFX_USA_Cdr_01-3_Run,GFX_USA_Cdr_01-3_Run,GFX_USA_Cdr_01-2_Stand,,GFX_USA_Cdr_01-4_Death,
USPR_USA_Cdr_01_Flag,USPR_USA_Cdr_01,GFX_USA_Cav_01-1_Walk,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-4_Run,GFX_USA_Cav_01-5_Charge,GFX_USA_Cav_01-2_Stand,,GFX_USA_Cav_01-7_Death_1,GFX_USA_Cav_01-7_Death_1
USPR_USA_Cdr_02,USPR_USA_Cdr_01,GFX_USA_Cdr_02-1_Walk,GFX_USA_Cdr_02-2_Stand,GFX_USA_Cdr_02-2_Stand,GFX_USA_Cdr_02-2_Stand,GFX_USA_Cdr_02-2_Stand,GFX_USA_Cdr_02-3_Run,GFX_USA_Cdr_02-3_Run,GFX_USA_Cdr_02-2_Stand,,GFX_USA_Cdr_02-4_Death,
USPR_USA_Cdr_02_Flag,USPR_USA_Cdr_01,GFX_USA_Cav_02-1_Walk,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-2_Stand,GFX_USA_Cav_02-4_Run,GFX_USA_Cav_02-5_Charge,GFX_USA_Cav_02-2_Stand,,GFX_USA_Cav_02-7_Death_2,GFX_USA_Cav_02-7_Death_2
USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private,GFX_USA_Inf_01-1_Walk,GFX_USA_Inf_01-2_Stand,GFX_USA_Inf_01-2_Stand,GFX_USA_Inf_01-2_Stand,GFX_USA_Inf_01-2_Stand,GFX_USA_Inf_01-4_Run,GFX_USA_Inf_01-4_Run,GFX_USA_Inf_01-6_Melee,GFX_USA_Inf_01-7_Prone,GFX_USA_Inf_01-8_Death_1,GFX_USA_Inf_01-8_Death_1
