Name,ID,Type ID,Min,Best,Normal,Long,Maximum,Reliability,ROF,MROF,Can Pct,Shell Pct,Shrap Pct,Solid Pct,ArtyTableID,Can ID,Shell ID,Shrap ID,Solid ID,,,,,,,,,
,ArtyTableID,This is the bore type of this piece of artillery.  It is used in artytables.csv to look up the factors for firing this weapon.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Can ID,The id of this ammunition type from the artillery ammunition table.  There are up to four different types of ammunition per cannon.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shell ID,The id of this ammunition type from the artillery ammunition table.  There are up to four different types of ammunition per cannon.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shrap ID,The id of this ammunition type from the artillery ammunition table.  There are up to four different types of ammunition per cannon.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solid ID,The id of this ammunition type from the artillery ammunition table.  There are up to four different types of ammunition per cannon.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10lb_Parrott_CSA,IDS_ARSN_10lb_Parrott_CSA,IDS_ARSN_Rifled,100,400,800,2000,2400,100,38,38,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,35,35,,41,41
10lb_Parrott_USA,IDS_ARSN_10lb_Parrott_USA,IDS_ARSN_Rifled,100,400,800,2000,2400,100,36,36,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,33,33,,39,39
12lb_Armstrong,IDS_ARSN_12lb_Armstrong,IDS_ARSN_Rifled,100,400,800,1000,1400,100,38,38,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,35,35,,41,41
12lb_Blakely,IDS_ARSN_12lb_Blakely,IDS_ARSN_Rifled,100,400,800,1000,1400,100,37,37,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,34,34,,40,40
12lb_Clay,IDS_ARSN_12lb_Clay,IDS_ARSN_Rifled,100,400,800,1000,1400,100,36,36,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,33,33,,39,39
12lb_Howitzer_CSA,IDS_ARSN_12lb_Howitzer_CSA,IDS_ARSN_Smoothbore,80,400,800,1000,1400,100,37,37,10,40,50,0,IDS_SHORTSMOOTHBORE,IDS_AMMO_H_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,,,,,,34,34,,40,40
12lb_Howitzer_USA,IDS_ARSN_12lb_Howitzer_USA,IDS_ARSN_Smoothbore,80,400,800,1000,1400,100,38,38,10,40,50,0,IDS_SHORTSMOOTHBORE,IDS_AMMO_H_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,,,,,,35,35,,41,41
12lb_James,IDS_ARSN_12lb_James,IDS_ARSN_Rifled,100,400,800,1000,1400,100,36,36,10,15,15,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,33,33,,39,39
12lb_Napoleon_CSA,IDS_ARSN_12lb_Napoleon_CSA,IDS_ARSN_Smoothbore,80,500,800,1000,1600,100,29,29,10,15,15,60,IDS_LONGSMOOTHBORE,IDS_AMMO_SB_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,27,27,,32,32
12lb_Napoleon_USA,IDS_ARSN_12lb_Napoleon_USA,IDS_ARSN_Smoothbore,80,500,800,1000,1600,100,29,29,10,15,15,60,IDS_LONGSMOOTHBORE,IDS_AMMO_SB_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,27,27,,32,32
12lb_Whitworth,IDS_ARSN_12lb_Whitworth,IDS_ARSN_Rifled,100,400,800,3000,4000,100,38,38,0,0,0,100,IDS_WHITWORTH,,,,IDS_AMMO_10lb_Parrott_Solid,,,,,35,35,,41,41
14lb_James,IDS_ARSN_14lb_James,IDS_ARSN_Rifled,100,400,800,1000,1400,100,37,37,10,15,15,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,34,34,,40,40
20lb_Parrott_CSA,IDS_ARSN_20lb_Parrott_CSA,IDS_ARSN_Rifled,100,400,800,1000,2200,100,41,41,15,15,10,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,38,38,,45,45
20lb_Parrott_USA,IDS_ARSN_20lb_Parrott_USA,IDS_ARSN_Rifled,100,400,800,1000,2200,100,41,41,15,15,10,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,38,38,,45,45
24lb_Howitzer_CSA,IDS_ARSN_24lb_Howitzer_CSA,IDS_ARSN_Smoothbore,80,400,800,1000,1400,100,40,40,15,50,15,0,IDS_SHORTSMOOTHBORE,IDS_AMMO_H_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,,,,,,37,37,,44,44
24lb_Howitzer_USA,IDS_ARSN_24lb_Howitzer_USA,IDS_ARSN_Smoothbore,80,400,800,1000,1400,100,40,40,15,50,15,0,IDS_SHORTSMOOTHBORE,IDS_AMMO_H_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,,,,,,37,37,,44,44
3.5in_James,IDS_ARSN_3.5in_James,IDS_ARSN_Rifled,100,400,800,1000,1400,100,31,31,10,15,15,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,29,29,,34,34
3in_Ordnance_CSA,IDS_ARSN_3in_Ordnance_CSA,IDS_ARSN_Rifled,100,400,800,2000,2400,100,32,32,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,29,29,,35,35
3in_Ordnance_USA,IDS_ARSN_3in_Ordnance_USA,IDS_ARSN_Rifled,100,400,800,2000,2400,100,31,31,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,29,29,,34,34
3in_Rodman_CSA,IDS_ARSN_3in_Rodman_CSA,IDS_ARSN_Rifled,100,400,800,2000,2400,100,33,33,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,30,30,,36,36
3in_Rodman_USA,IDS_ARSN_3in_Rodman_USA,IDS_ARSN_Rifled,100,400,800,2000,2400,100,31,31,10,10,20,60,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,29,29,,34,34
6lb_M1841_Rifle_CSA,IDS_ARSN_6lb_M1841_Rifle_CSA,IDS_ARSN_Rifled,100,400,800,1000,1400,100,32,32,10,0,20,70,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,29,29,,35,35
6lb_M1841_Rifle_USA,IDS_ARSN_6lb_M1841_Rifle_USA,IDS_ARSN_Rifled,100,400,800,1000,1400,100,33,33,10,0,20,70,IDS_RIFLED,IDS_AMMO_R_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,30,30,,36,36
6lb_M1841_USA,IDS_ARSN_6lb_M1841_USA,IDS_ARSN_Smoothbore,80,400,800,1000,1100,100,33,33,10,0,20,70,IDS_LONGSMOOTHBORE,IDS_AMMO_SB_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,30,30,,36,36
6lb_M1841_CSA,IDS_ARSN_6lb_M1841_CSA,IDS_ARSN_Smoothbore,80,400,800,1000,1100,100,32,32,10,0,20,70,IDS_LONGSMOOTHBORE,IDS_AMMO_SB_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,29,29,,35,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Cannon,IDS_ARSN_Objective_Gun,IDS_ARSN_Smoothbore,1,2,3,4,5,0,60000,60000,0,0,0,0,IDS_LONGSMOOTHBORE,IDS_AMMO_SB_Canister,IDS_AMMO_10lb_Parrott_Shell_USA,IDS_AMMO_10lb_Parrott_Shrapnel_USA,IDS_AMMO_10lb_Parrott_Solid,,,,,30,30,,36,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,min: 50, optimal: 201, typical: 851, long: 2001, max: 2500.  ,,,,,,,,,,,,,,,,,,,,,
