Class,Type,Alt Class,Captured Class,Walk Speed (miles/hr),Run Speed (miles/hr),Uniform 1,Uniform 2,Uniform 3,Uniform 4,Uniform 5,Uniform 6,Walk Sound,Stand Sound,Load Sound,Ram Sound,Fire Sound,Run Sound,Charge Sound,Melee Sound,Prone Sound,Flag Bearer Sprite,GUI,Friendly GUI,Enemy GUI,Fighting Formation,Walk Formation
UGLB_USA_Inf_Cdr_Brig,1,,,5,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL5_Inf,GUI_US_LVL5_Friendly,GUI_US_LVL5_Enemy,DRIL_Lvl5_Inf_LineFight,DRIL_Lvl5_Inf_Column
UGLB_USA_Inf_1,1,,,4,8,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_01_NCO,USPR_USA_Inf_09_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_2,1,,,4,8,USPR_USA_Inf_02_Private_s,USPR_USA_Inf_02_NCO,USPR_USA_Inf_02_Private_t,USPR_USA_Inf_02_Private,USPR_USA_Inf_02_Private_s,USPR_USA_Inf_02_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_3,1,,,4,8,USPR_USA_Inf_03_Private_s,USPR_USA_Inf_03_NCO,USPR_USA_Inf_03_Private_t,USPR_USA_Inf_03_Private_s,USPR_USA_Inf_03_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_4,1,,,4,8,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_08_NCO,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_5,1,,,4,8,USPR_USA_Inf_05_Private_s,USPR_USA_Inf_05_NCO,USPR_USA_Inf_05_Private_t,USPR_USA_Inf_05_Private_s,USPR_USA_Inf_05_Private_t,USPR_USA_Inf_05_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_6,1,,,4,8,USPR_USA_Inf_06_Private_s,USPR_USA_Inf_06_NCO,USPR_USA_Inf_06_Private,USPR_USA_Inf_06_Private_s,USPR_USA_Inf_06_Private_t,USPR_USA_Inf_06_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_7,1,,,4,8,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_8,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_09_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Cav_Cdr_Corps,2,,,5,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL3_Cav,GUI_US_LVL3_Friendly,GUI_US_LVL3_Enemy,DRIL_Lvl4_Cav_Line,DRIL_Lvl4_Cav_Column
UGLB_USA_Cav_Cdr_Div,2,,,5,15,USPR_USA_Cdr_02,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL4_Cav,GUI_US_LVL4_Friendly,GUI_US_LVL4_Enemy,DRIL_Lvl4_Cav_Line,DRIL_Lvl4_Cav_Column
UGLB_USA_Cav_Cdr_Brig,2,,,5,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL5_Cav,GUI_US_LVL5_Friendly,GUI_US_LVL5_Enemy,DRIL_Lvl5_Cav_Line,DRIL_Lvl5_Cav_RoadColumn
UGLB_USA_Cav_1,2,UGLB_USA_Cav_Dismount_1,,4,8,USPR_USA_Cav_01,USPR_USA_Cav_02,USPR_USA_Cav_01_s,,,,SFX_Cav_Walk_1,SFX_Cav_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_1,SFX_Cav_Run_1,SFX_Cav_Charge_1,SFX_Cav_Melee_1,SFX_Cav_Prone_1,USPR_USA_Cav_01,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_RoadColumn
UGLB_USA_Cav_2,2,UGLB_USA_Cav_Dismount_2,,4,8,USPR_USA_Cav_02,USPR_USA_Cav_01,USPR_USA_Cav_02_s,,,,SFX_Cav_Walk_2,SFX_Cav_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Cav_Run_2,SFX_Cav_Charge_2,SFX_Cav_Melee_1,SFX_Cav_Prone_2,USPR_USA_Cav_01,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_RoadColumn
UGLB_USA_Cav_3,2,UGLB_USA_Cav_Dismount_3,,4,8,USPR_USA_Cav_01_s,USPR_USA_Cav_02_s,USPR_USA_Cav_01,USPR_USA_Cav_02,,,SFX_Cav_Walk_3,SFX_Cav_Stand_3,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_3,SFX_Cav_Run_3,SFX_Cav_Charge_3,SFX_Cav_Melee_1,SFX_Cav_Prone_3,USPR_USA_Cav_01,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_RoadColumn
UGLB_USA_Cav_4,2,UGLB_USA_Cav_Dismount_4,,4,8,USPR_USA_Cav_02_s,USPR_USA_Cav_01_s,USPR_USA_Cav_02,USPR_USA_Cav_01,,,SFX_Cav_Walk_1,SFX_Cav_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_1,SFX_Cav_Run_2,SFX_Cav_Charge_1,SFX_Cav_Melee_1,SFX_Cav_Prone_1,USPR_USA_Cav_01,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_RoadColumn
UGLB_USA_Cav_Dismount_1,2,UGLB_USA_Cav_1,,4,8,USPR_USA_Cav_01_Dismounted,USPR_USA_Cav_02_Dismounted,USPR_USA_Cav_01_Dismounted_s,,,,SFX_Cav_Walk_Dismounted_1,SFX_Cav_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_1,SFX_Cav_Run_Dismounted_1,SFX_Cav_Charge_Dismounted_1,SFX_Cav_Melee_Dismounted_1,SFX_Cav_Prone_1,USPR_USA_Cav_01_Dismounted,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_Column
UGLB_USA_Cav_Dismount_2,2,UGLB_USA_Cav_2,,4,8,USPR_USA_Cav_02_Dismounted,USPR_USA_Cav_01_Dismounted,USPR_USA_Cav_02_Dismounted_s,,,,SFX_Cav_Walk_Dismounted_2,SFX_Cav_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Cav_Run_Dismounted_2,SFX_Cav_Charge_Dismounted_1,SFX_Cav_Melee_Dismounted_1,SFX_Cav_Prone_2,USPR_USA_Cav_01_Dismounted,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_Column
UGLB_USA_Cav_Dismount_3,2,UGLB_USA_Cav_3,,4,8,USPR_USA_Cav_01_Dismounted_s,USPR_USA_Cav_02_Dismounted_s,USPR_USA_Cav_01_Dismounted,USPR_USA_Cav_02_Dismounted,,,SFX_Cav_Walk_Dismounted_3,SFX_Cav_Stand_3,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_3,SFX_Cav_Run_Dismounted_3,SFX_Cav_Charge_Dismounted_1,SFX_Cav_Melee_Dismounted_1,SFX_Cav_Prone_3,USPR_USA_Cav_01_Dismounted,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_Column
UGLB_USA_Cav_Dismount_4,2,UGLB_USA_Cav_4,,4,8,USPR_USA_Cav_02_Dismounted_s,USPR_USA_Cav_01_Dismounted_s,USPR_USA_Cav_02_Dismounted,USPR_USA_Cav_01_Dismounted,,,SFX_Cav_Walk_Dismounted_1,SFX_Cav_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cav_Fire_2,SFX_Cav_Run_Dismounted_1,SFX_Cav_Charge_Dismounted_1,SFX_Cav_Melee_Dismounted_1,SFX_Cav_Prone_1,USPR_USA_Cav_01_Dismounted,GUI_US_LVL6_Cav,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Cav_Line,DRIL_Lvl6_Cav_Column
UGLB_USA_Art_Cdr_Res,3,,,6,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Cdr_Stand_1,SFX_Cdr_Stand_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL3_Art,GUI_US_LVL3_Friendly,GUI_US_LVL3_Enemy,DRIL_Lvl4_Art_Line,DRIL_Lvl4_Art_Column
UGLB_USA_Art_Cdr_Bn,3,,,6,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Cdr_Stand_1,SFX_Cdr_Stand_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL4_Art,GUI_US_LVL4_Friendly,GUI_US_LVL4_Enemy,DRIL_Lvl4_Art_Line,DRIL_Lvl4_Art_Column
UGLB_USA_Art_Cdr_Bty,3,,,6,15,USPR_USA_Cdr_02,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Cdr_Stand_1,SFX_Cdr_Stand_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL5_Art,GUI_US_LVL5_Friendly,GUI_US_LVL5_Enemy,DRIL_Lvl5_Art_Line,DRIL_Lvl5_Art_Column
UGLB_USA_Art_Gun_1,3,UGLB_USA_Art_Limbered_1,UGLB_CSA_Art_Gun_1,2,2,USPR_USA_Art_01_Gun,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunWalk_1,SFX_Art_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_1,SFX_Art_GunWalk_1,SFX_Art_GunWalk_1,,SFX_Art_Stand_1,USPR_USA_Art_01_Limber,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_Line,DRIL_Lvl6_Art_RoadColumn
UGLB_USA_Art_Gun_2,3,UGLB_USA_Art_Limbered_2,UGLB_CSA_Art_Gun_2,2,2,USPR_USA_Art_01_Gun,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunWalk_2,SFX_Art_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_2,SFX_Art_GunWalk_2,SFX_Art_GunWalk_2,,SFX_Art_Stand_2,USPR_USA_Art_01_Limber,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_Line,DRIL_Lvl6_Art_RoadColumn
UGLB_USA_Art_Gun_3,3,UGLB_USA_Art_Limbered_3,UGLB_CSA_Art_Gun_3,2,2,USPR_USA_Art_01_Gun,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunWalk_3,SFX_Art_Stand_3,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_3,SFX_Art_GunWalk_3,SFX_Art_GunWalk_3,,SFX_Art_Stand_3,USPR_USA_Art_01_Limber,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_Line,DRIL_Lvl6_Art_RoadColumn
UGLB_USA_Art_Gun_4,3,UGLB_USA_Art_Limbered_4,UGLB_CSA_Art_Gun_4,2,2,USPR_USA_Art_02_Gun,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunWalk_1,SFX_Art_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_1,SFX_Art_GunWalk_1,SFX_Art_GunWalk_1,,SFX_Art_Stand_1,USPR_USA_Art_01_Limber,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_Line,DRIL_Lvl6_Art_RoadColumn
UGLB_USA_Art_Gun_5,3,UGLB_USA_Art_Limbered_5,UGLB_CSA_Art_Gun_5,2,2,USPR_USA_Art_02_Gun,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunWalk_2,SFX_Art_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_2,SFX_Art_GunWalk_2,SFX_Art_GunWalk_2,,SFX_Art_Stand_2,USPR_USA_Art_01_Limber,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_Line,DRIL_Lvl6_Art_RoadColumn
UGLB_USA_Art_Gun_6,3,UGLB_USA_Art_Limbered_6,UGLB_CSA_Art_Gun_6,2,2,USPR_USA_Art_02_Gun,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunWalk_3,SFX_Art_Stand_3,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_3,SFX_Art_GunWalk_3,SFX_Art_GunWalk_3,,SFX_Art_Stand_3,USPR_USA_Art_01_Limber,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_Line,DRIL_Lvl6_Art_RoadColumn
UGLB_USA_Art_Limbered_1,3,UGLB_USA_Art_Gun_1,UGLB_CSA_Art_Limbered_1,6,6,USPR_USA_Art_01_Gun-Limbered,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunLimbered_Walk_1,SFX_Art_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_1,SFX_Art_GunLimbered_Run_1,SFX_Art_GunLimbered_Run_1,,SFX_Art_Stand_1,USPR_USA_TRANS_Horses,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_March,DRIL_Lvl6_Art_March
UGLB_USA_Art_Limbered_2,3,UGLB_USA_Art_Gun_2,UGLB_CSA_Art_Limbered_2,6,6,USPR_USA_Art_01_Gun-Limbered,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunLimbered_Walk_1,SFX_Art_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_2,SFX_Art_GunLimbered_Run_2,SFX_Art_GunLimbered_Run_2,,SFX_Art_Stand_2,USPR_USA_TRANS_Horses,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_March,DRIL_Lvl6_Art_March
UGLB_USA_Art_Limbered_3,3,UGLB_USA_Art_Gun_3,UGLB_CSA_Art_Limbered_3,6,6,USPR_USA_Art_01_Gun-Limbered,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunLimbered_Walk_1,SFX_Art_Stand_3,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_3,SFX_Art_GunLimbered_Run_3,SFX_Art_GunLimbered_Run_3,,SFX_Art_Stand_3,USPR_USA_TRANS_Horses,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_March,DRIL_Lvl6_Art_March
UGLB_USA_Art_Limbered_4,3,UGLB_USA_Art_Gun_4,UGLB_CSA_Art_Limbered_4,6,6,USPR_USA_Art_01_Gun-Limbered,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunLimbered_Walk_1,SFX_Art_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_1,SFX_Art_GunLimbered_Run_1,SFX_Art_GunLimbered_Run_1,,SFX_Art_Stand_1,USPR_USA_TRANS_Horses,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_March,DRIL_Lvl6_Art_March
UGLB_USA_Art_Limbered_5,3,UGLB_USA_Art_Gun_5,UGLB_CSA_Art_Limbered_5,6,6,USPR_USA_Art_01_Gun-Limbered,USPR_USA_Art_01_Limber,USPR_USA_TRANS_Horses,,,,SFX_Art_GunLimbered_Walk_1,SFX_Art_Stand_2,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Art_Fire_2,SFX_Art_GunLimbered_Run_2,SFX_Art_GunLimbered_Run_2,,SFX_Art_Stand_2,USPR_USA_TRANS_Horses,GUI_US_LVL6_Art,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Art_March,DRIL_Lvl6_Art_March
