UI Name,Graphic Name,loc x (across),loc y (down),Sticky (0/1/2),Button Sound,Unit Sound,Normal (across),Normal (down),Highlighted (across),Highlighted (down),gray (across),gray (down),Active (across),Active (down),mod left,mod top,mod right,mod bottom,func,func2,text,Special,Show Condition,Highlight Condition,,,,,,
GUI_LVL6_Inf,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_LVL6_Inf,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_LVL6_Inf,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
GUI_LVL6_Inf,GFX_Bars,526,723,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Morale: $morale -- #moralecur,progbar:#moralemin-#moralecur-#moralemax,,,,,,,,
GUI_LVL6_Inf,GFX_Bars,526,751,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Fatigue: $fatigue -- #fatiguecur,progbar:#fatiguemin-#fatiguecur-#fatiguemax,,,,,,,,
GUI_LVL6_Inf,GFX_BS_RegBackground,685,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,687,655,,,,0,15,0,17,0,15,0,16,0,0,0,0,moveformfwd:100:0,,Advance 100 Yards,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,712,655,,,,1,15,1,17,1,15,1,16,0,0,0,0,moveformfwd:300:0,,Advance 300 Yards,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,737,655,,,,2,15,2,17,2,15,2,16,0,0,0,0,movefwd:300:1,,Advance to Cover,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,13,0,0,0,wheelright:45,,Wheelright 45 Degrees,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,0,0,-13,0,wheelleft:45,,Wheelleft 45 Degrees,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,687,739,,SFX_UI_Click,,15,16,15,17,15,16,15,16,0,0,0,0,Mmoveto,,Command Map,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,712,739,,SFX_UI_Click,,7,15,7,17,7,15,7,16,0,0,0,0,camfollow,,Follow - 2 Clicks Rotate 3 Release,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,737,739,,,,6,15,6,17,6,15,6,16,0,0,0,0,attackmarch,,Attackmarch - Move Unengaged unless Melee,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,0,0,0,0,wheelleft,,Wheel Left,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,818,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,0,0,0,0,wheelright,,Wheel Right,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,846,655,,,,2,0,2,2,2,0,2,1,0,0,0,0,mleftflank,,Left Flank,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,874,655,,,,3,0,3,2,3,0,3,1,0,0,0,0,mrightflank,,Right Flank,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,906,655,,,,12,9,12,11,12,9,12,10,0,0,0,0,guard,,Select Unit to Guard,,,#follow == 1,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,939,655,,,,7,3,7,5,7,3,7,4,0,0,0,0,form:DRIL_Lvl6_Inf_RoadColumn,,Column (Fast),,#formnum == 5,#formnum == 5,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,939,655,,,,3,3,3,5,3,3,3,4,0,0,0,0,form:DRIL_Lvl6_Inf_RoadColumn,,Column,,#formnum != 5,#formnum == 6,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,967,655,,,,0,3,0,5,0,3,0,4,0,0,0,0,form:DRIL_Lvl6_Inf_Line,,Line,,,#formnum < 2,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,995,655,,,,13,6,13,8,13,6,13,7,0,0,0,0,resupply,,Re-Supply,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,stop,,Halt,,,#regstate == 1,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,818,683,,,,12,0,12,2,12,0,12,1,0,0,0,0,run,,Double Quick (Run),,#regstate != 5,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,818,683,,,,12,0,12,2,12,0,12,1,0,0,0,0,walk,,Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,846,683,,,,4,0,4,2,4,0,4,1,0,0,0,0,mleftoblique,,Oblique Left,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,874,683,,,,5,0,5,2,5,0,5,1,0,0,0,0,mrightoblique,,Oblique Right,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,939,683,,,,13,0,13,2,13,0,13,1,0,0,0,0,forcepath,marchmusic,Use Roads,,,#useroads == 1,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,967,683,,,,4,3,4,5,4,3,4,4,0,0,0,0,form:DRIL_Lvl6_Inf_ColumnbyDivision,,Column by Divisions,,,#formnum == 3,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,995,683,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,790,711,,,,6,0,6,2,6,0,6,1,0,0,0,0,takecover,,Lie Down,,,#regstate == 8,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,818,711,,,,7,0,7,2,7,0,7,1,0,0,0,0,takecover,,Rise Up,,,#regstate != 8,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,846,711,,,,10,0,10,2,10,0,10,1,0,0,0,0,aboutface,,About Face,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,874,711,,,,11,13,11,15,11,13,11,14,0,0,0,0,getaway,,Short Retreat,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,967,711,,,,2,3,2,5,2,3,2,4,0,0,0,0,form:DRIL_Lvl6_Inf_Skirmish,,Skirmish,,,#formnum == 2,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,995,711,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,790,739,,,SFX_UI_YankCharge,16,16,16,17,16,16,16,16,0,0,0,0,charge,,Charge!,,#side == 1,#regstate == 6,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,790,739,,,SFX_BU_RebelYell,11,17,12,17,11,17,11,17,0,0,0,0,charge,,Charge!,,#side == 2,#regstate == 6,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,818,739,,,,1,9,1,11,1,9,1,10,0,0,0,0,advance,,Advance,,,#regstate == 11,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,846,739,,,,2,9,2,11,2,9,2,10,0,0,0,0,fallback,,Fallback,,,#regstate == 9,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,874,739,,,,3,9,3,11,3,9,3,10,0,0,0,0,retreat,,Retreat,,,#regstate == 10,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,967,739,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Regiment,,,#attached == 1,,,,,,
GUI_LVL6_Inf,GFX_BS_Buttons,995,739,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Regiment,,,#attached == 0,,,,,,
GUI_LVL6_Inf,GFX_Ammo,521,683,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Weapon: $weapon - Range: #weaponmax yds - Reload Time: #reloadsec secs.,,,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,349,656,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Visible to Enemy,,#visible == 1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,371,656,,,,6,0,6,0,0,0,6,0,0,0,0,0,,,Commander Bonus,,#leaderbonus != 0,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,349,678,,,,10,0,10,0,0,0,10,0,0,0,0,0,,,Support Bonus,,,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,371,678,,,,11,0,11,0,0,0,11,0,0,0,0,0,,,Defensive Terrain Bonus from $terrain,,#defbonus == 1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,393,678,,,,12,0,12,0,0,0,12,0,0,0,0,0,,,High Ground Bonus,,#elevbonus==1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,349,700,,,,3,0,3,0,0,0,3,0,0,0,0,0,,,Unit Resting,,#resting == 1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,371,700,,,,4,0,4,0,0,0,4,0,0,0,0,0,,,Unit Rallying,,#rallying == 1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,393,700,,,,9,0,9,0,0,0,9,0,0,0,0,0,,,Getting Flanked,,#flankfire == 1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,349,722,,,,1,0,1,0,0,0,1,0,0,0,0,0,,,A Target is Blocked,,#blocked != 0,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,371,722,,,,5,0,5,0,0,0,5,0,0,0,0,0,,,Shooting Over,,#shootover == 1,,,,,,,
GUI_LVL6_Inf,GFX_Status_Icons,393,722,,,,14,0,14,0,0,0,5,0,0,0,0,0,,,TCed,,#takecomm == 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL6_Inf,INHERIT,GUI_LVL6_Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL6_Inf,GFX_Flags,0,652,,,,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL6_Inf,INHERIT,GUI_LVL6_Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL6_Inf,GFX_Flags,0,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Inf,GFX_MS_WideBackground,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Inf,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
GUI_LVL5_Inf,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_LVL5_Inf,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_LVL5_Inf,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
GUI_LVL5_Inf,GFX_Bars,526,723,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL5_Inf,GFX_Bars,526,751,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL5_Inf,GROUP,GUI_LVL5_Inf_Combat,,,SFX_UI_Combat,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Inf,GROUP,GUI_LVL5_Inf_Move,,,SFX_UI_Move,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Inf,GROUP,GUI_LVL5_Inf_Orders,,,SFX_UI_Orders,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,636,655,,,,9,15,9,17,9,15,9,16,13,0,0,0,Arun,walk,Run - Leader Walks,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,636,655,,,,9,15,9,17,9,15,9,16,0,0,-13,0,Aform:DRIL_Lvl5_Inf_Line,moveformfwd:50:0,Advance Line 50 Yards - Leader Moves,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,661,655,,,,10,15,10,17,10,15,10,16,13,0,0,0,Arun,walk,Run - Leader Walks,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,661,655,,,,10,15,10,17,10,15,10,16,0,0,-13,0,Aform:DRIL_Lvl5_Inf_Line,moveformfwd:100:0,Advance Line 100 Yards - Leader Moves,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,636,683,,,,11,16,9,17,11,16,11,16,0,0,0,0,Aform:DRIL_Lvl5_Inf_Line,,Advance Line 50 Yards - Leader Stays,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,661,683,,,,12,16,10,17,12,16,12,16,0,0,0,0,Aform:DRIL_Lvl5_Inf_Line,,Advance Line 100 Yards - Leader Stays,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,687,655,,,,0,15,0,17,0,15,0,16,0,0,0,0,Amoveformfwd:100:0,,Advance 100 Yards,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,712,655,,,,1,15,1,17,1,15,1,16,0,0,0,0,Amoveformfwd:300:0,,Advance 300 Yards,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,737,655,,,,2,15,2,17,2,15,2,16,0,0,0,0,Amovefwd:300:1,,Advance to Cover,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,13,0,0,0,wheelright:45,,Wheelright 45 Degrees,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,0,0,-13,0,wheelleft:45,,Wheelleft 45 Degrees,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,636,711,,,,13,13,13,14,13,13,13,13,0,0,0,0,Atcommon,,Take Charge Subordinates,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,661,711,,,,13,15,13,16,13,15,13,15,0,0,0,0,Atcommoff,,Take Charge Subordinates Off,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,636,739,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Brigade,,,#attached == 1,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,661,739,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Brigade,,,#attached == 0,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,687,739,,SFX_UI_Click,,15,16,15,17,15,16,15,16,0,0,0,0,Mmoveto,,Command Map,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,712,739,,SFX_UI_Click,,7,15,7,17,7,15,7,16,0,0,0,0,camfollow,,Follow - 2 Clicks Rotate 3 Release,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,737,739,,,,6,15,6,17,6,15,6,16,0,0,0,0,Aattackmarch,,Attackmarch - Move Unengaged unless Melee,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,762,739,,,,8,15,8,17,8,15,8,16,13,0,0,0,Aform:DRIL_Lvl5_Inf_Column,Arun,Battle Columns Wide - Run,,,,,,,,,
GUI_LVL5_Inf,GFX_BS_Buttons,762,739,,,,8,15,8,17,8,15,8,16,0,0,-13,0,Aform:DRIL_Lvl5_Inf_Column,Arun,Battle Columns - Run,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,0,0,0,0,wheelleft,,Wheel Left,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,818,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,0,0,0,0,wheelright,,Wheel Right,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,846,655,,,,2,0,2,2,2,0,2,1,0,0,0,0,Amleftflank,,Left Flank,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,874,655,,,,3,0,3,2,3,0,3,1,0,0,0,0,Amrightflank,,Right Flank,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,939,655,,,,1,3,1,5,1,3,1,4,0,0,0,0,Aform:DRIL_Lvl5_Inf_DoubleLine,,Double Line,,,#formnum == 10,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,967,655,,,,3,3,3,5,3,3,3,4,0,0,0,0,Aform:DRIL_Lvl5_Inf_Column,,Column,,,#formnum == 15,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,995,655,,,,0,3,0,5,0,3,0,4,0,0,0,0,Aform:DRIL_Lvl5_Inf_Line,,Line,,,#formnum == 8,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,Astop,,Halt,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,818,683,,,,12,0,12,2,12,0,12,1,0,0,0,0,Arun,,Double Quick (Run),,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,846,683,,,,4,0,4,2,4,0,4,1,0,0,0,0,Amleftoblique,,Oblique Left,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,874,683,,,,5,0,5,2,5,0,5,1,0,0,0,0,Amrightoblique,,Oblique Right,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,939,683,,,,6,3,6,5,6,3,6,4,0,0,0,0,Aform:DRIL_Lvl5_Inf_LinewithReserves,,Line with Reserves,,,#formnum == 11,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,967,683,,,,4,3,4,5,4,3,4,4,0,0,0,0,Aform:DRIL_Lvl5_Inf_ColumnbyDivision,,Column by Divisions,,,#formnum == 13,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,995,683,,,,5,3,5,5,5,3,5,4,0,0,0,0,Aform:DRIL_Lvl5_Inf_ColumninLine,,Column of Regiments in Line,,,#formnum == 14,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,790,711,,,,6,0,6,2,6,0,6,1,0,0,0,0,Aonlylaydown,,Lie Down,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,818,711,,,,7,0,7,2,7,0,7,1,0,0,0,0,Aonlyriseup,,Rise Up,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,846,711,,SFX_UI_GotoSel,,10,0,10,2,10,0,10,1,0,0,0,0,Aaboutface,,About Face,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,874,711,,,,13,0,13,2,13,0,13,1,0,0,0,0,Aforcepath,marchmusic,Use Roads,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,run,,Leader Double Quick (Gallop),,#regstate != 5,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,walk,,Leader Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,995,711,,,,2,3,2,5,2,3,2,4,0,0,0,0,Aform:DRIL_Lvl5_Inf_Skirmish,,Skirmish,,,#formnum == 12,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,790,739,,,SFX_UI_YankCharge,16,16,16,17,16,16,16,16,0,0,0,0,Acharge,,Charge!,,#side == 1,#regstate == 6,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,790,739,,,SFX_BU_RebelYell,11,17,12,17,11,17,11,17,0,0,0,0,Acharge,,Charge!,,#side == 2,#regstate == 6,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,818,739,,,,1,9,1,11,1,9,1,10,0,0,0,0,Aadvance,,Advance,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,846,739,,,,2,9,2,11,2,9,2,10,0,0,0,0,Afallback,,Fallback,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,874,739,,,,3,9,3,11,3,9,3,10,0,0,0,0,Aretreat,,Retreat,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL5_Inf_Combat,GFX_BS_Buttons,967,739,,SFX_UI_RiseUp,,1,6,1,8,1,6,1,7,0,0,0,0,stop,,Leader Halt,,,#regstate == 1,,,,,,
